Indicator.datasource,Indicator.area,Indicator.short_name,Indicator.long_name,Indicator_Code,Filter_code
EUROSTAT,Economy / Education,Adult participation in learning in the past four weeks by sex,Adult participation in learning in the past four weeks by sex,sdg_04_60,
EUROSTAT,Health Stats,Body Mass Index,"Body mass index (BMI) by sex, age and income quintile",hlth_ehis_bm1i,bmi=BMI_LT18P5
WORLD BANK,Health Stats,Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,
WORLD BANK,Health Stats,Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,
WORLD BANK,Health Stats,Domestic general government health expenditure per capita (current US$),Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,
WORLD BANK,Health Stats,"Domestic general government health expenditure per capita, PPP (current international $)","Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,
WORLD BANK,Health Stats,Domestic governmental health expenditure(%health expenditure),Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,
WORLD BANK,Health Stats,Domestic private health expenditure (% of current health expenditure),Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,
WORLD BANK,Health Stats,Domestic private health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,
WORLD BANK,Health Stats,"Domestic private health expenditure per capita, PPP (current international $)","Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,
EUROSTAT,Economy / Education,Early leavers from education and training by sex,Early leavers from education and training by sex,sdg_04_10,
EUROSTAT,Economy / Education,Expenditure on social protection,Expenditure on social protection,tps00098,
WORLD BANK,Health Stats,External health expenditure (%Health expenditure),External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,
WORLD BANK,Health Stats,External health expenditure pre capita (PPP),"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,
WORLD BANK,Health Stats,External health expenditure pre capita (USD),External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,
WORLD BANK,World Development Indicators,GDP in PPP,GDP in PPP,NY.GDP.MKTP.PP.KD,
WORLD BANK,World Development Indicators,GDP in USD,GDP in USD,NY.GDP.MKTP.CD,
WORLD BANK,Health Stats,Health expenditure (%GDP),Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,
WORLD BANK,Health Stats,Health expenditure per capita (PPP),"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,
WORLD BANK,Health Stats,Health expenditure per capita (USD),Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,
EUROSTAT,Health Stats,Healthy life years at birth by sex,Healthy life years at birth by sex,tps00150,
WORLD BANK,Tourism,"International tourism, expenditures (% of total imports)","International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,
WORLD BANK,Tourism,"International tourism, expenditures (current US$)","International tourism, expenditures (current US$)",ST.INT.XPND.CD,
WORLD BANK,Tourism,"International tourism, passenger transport items (USD)","International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,
WORLD BANK,Tourism,"International tourism, travel items (USD)","International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,
EUROSTAT,Health Stats,Life expectancy,Life expectancy at birth by sex,tps00208,indic_he='LE_0'
